uid,type,Interested,Distressed,Upset,Strong,Guilty,Scared,Hostile ,Enthusiastic,Proud,Irritable,Alert,Inspired,Nervous,Determined ,Attentive,Jittery,Active ,Afraid ,Positive_Total,Negative_Total
u00,Post,4,3,3,3,4.0,1,2,3,4,4,4,3.0,3.0,3,3.0,3.0,4,1,31.0,24.0
u01,Post,3,2,2,3,2.0,1,1,3,3,3,3,2.0,2.0,3,4.0,3.0,3,1,27.0,17.0
u02,Post,4,2,2,4,1.0,1,1,3,3,1,4,4.0,2.0,4,1.0,1.0,1,2,28.0,13.0
u03,Post,4,3,2,3,1.0,3,2,3,3,2,1,4.0,3.0,2,2.0,1.0,3,3,25.0,20.0
u04,Post,3,2,2,4,1.0,1,2,4,4,3,4,3.0,4.0,4,3.0,2.0,5,2,34.0,19.0
u05,Post,4,2,2,3,3.0,3,1,4,3,1,4,3.0,3.0,4,4.0,1.0,4,1,33.0,17.0
u07,Post,2,4,3,3,1.0,1,2,1,3,2,2,1.0,2.0,1,1.0,1.0,2,1,16.0,17.0
u09,Post,3,1,2,2,1.0,1,1,4,4,1,4,3.0,2.0,3,4.0,1.0,5,2,32.0,12.0
u10,Post,5,5,1,4,4.0,1,4,5,5,5,4,5.0,4.0,5,5.0,3.0,5,1,43.0,28.0
u14,Post,4,1,1,3,1.0,1,1,4,4,2,5,5.0,3.0,5,5.0,1.0,1,1,36.0,12.0
u15,Post,4,4,4,4,2.0,2,2,4,3,3,4,3.0,3.0,4,3.0,2.0,4,3,33.0,25.0
u16,Post,2,5,4,2,4.0,5,1,1,2,4,2,1.0,4.0,3,3.0,1.0,1,5,17.0,33.0
u17,Post,2,5,5,4,1.0,4,4,5,5,5,1,2.0,5.0,5,1.0,3.0,2,5,27.0,37.0
u18,Post,2,5,3,3,1.0,5,5,1,1,4,3,1.0,5.0,3,2.0,3.0,1,4,17.0,35.0
u19,Post,4,2,1,4,2.0,2,1,5,4,1,3,5.0,2.0,3,3.0,2.0,3,2,34.0,15.0
u20,Post,2,4,4,4,3.0,3,1,2,2,1,3,3.0,4.0,3,3.0,3.0,3,3,25.0,26.0
u23,Post,2,2,3,2,1.0,2,4,4,4,4,3,4.0,4.0,3,4.0,3.0,2,1,28.0,24.0
u24,Post,2,4,2,2,1.0,1,1,2,3,2,3,1.0,2.0,4,2.0,3.0,3,2,22.0,18.0
u27,Post,2,3,1,2,1.0,3,1,2,2,4,3,2.0,4.0,2,3.0,3.0,1,3,19.0,23.0
u30,Post,4,1,1,4,5.0,5,1,3,4,1,4,3.0,1.0,4,4.0,1.0,4,5,34.0,21.0
u31,Post,2,3,4,2,5.0,5,5,3,2,4,2,3.0,4.0,3,2.0,2.0,1,5,20.0,37.0
u32,Post,5,3,2,4,1.0,1,1,4,5,3,4,5.0,1.0,5,5.0,2.0,4,1,41.0,15.0
u33,Post,4,5,5,2,2.0,2,2,4,4,2,3,3.0,4.0,3,2.0,3.0,1,3,26.0,28.0
u34,Post,3,3,2,2,1.0,1,1,3,2,1,2,4.0,3.0,3,2.0,1.0,3,1,24.0,14.0
u35,Post,2,4,3,2,1.0,1,1,3,3,1,1,3.0,2.0,2,2.0,1.0,2,1,20.0,15.0
u36,Post,4,2,2,4,1.0,2,1,3,3,3,3,3.0,3.0,4,4.0,3.0,4,2,32.0,19.0
u42,Post,5,3,3,5,1.0,1,3,4,4,3,4,4.0,2.0,4,3.0,3.0,3,2,36.0,21.0
u43,Post,4,3,2,3,2.0,3,1,4,4,2,3,3.0,3.0,5,4.0,2.0,2,3,32.0,21.0
u44,Post,4,3,3,1,1.0,2,1,4,2,3,3,3.0,3.0,3,4.0,3.0,4,3,28.0,22.0
u45,Post,2,4,1,3,3.0,1,1,3,3,3,3,4.0,2.0,2,3.0,2.0,4,1,27.0,18.0
u46,Post,2,5,5,3,1.0,2,5,5,3,5,3,5.0,4.0,4,4.0,5.0,2,2,31.0,34.0
u47,Post,3,1,1,5,1.0,1,2,4,4,1,1,5.0,2.0,4,5.0,1.0,4,1,35.0,11.0
u49,Post,5,3,2,3,1.0,1,1,5,5,2,3,5.0,2.0,5,3.0,2.0,3,2,37.0,16.0
u51,Post,3,2,1,3,1.0,1,1,3,3,2,2,3.0,2.0,3,3.0,1.0,3,1,26.0,12.0
u52,Post,2,5,5,2,1.0,5,3,5,4,5,3,2.0,5.0,3,4.0,5.0,1,5,26.0,39.0
u53,Post,5,3,2,3,1.0,1,2,4,4,2,3,4.0,4.0,5,4.0,1.0,1,1,33.0,17.0
u56,Post,4,2,2,3,2.0,1,1,3,3,2,3,4.0,2.0,3,3.0,2.0,3,1,29.0,15.0
u59,Post,4,1,2,4,2.0,5,2,5,5,3,4,3.0,5.0,5,4.0,4.0,3,5,37.0,29.0
